,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,rand1,rand2,rand4,rand5,rand6
1,5.1,3.5,1.4,0.2,setosa,7.084185043,906,99.76278886,5.963945678,1.806990291
2,4.9,3,1.4,0.2,setosa,9.575921835,43,87.32748356,7.194621254,1.873489082
3,4.7,3.2,1.3,0.2,setosa,9.453334443,351,104.6217935,4.407732063,0.803832837
4,4.6,3.1,1.5,0.2,setosa,6.150458974,898,79.54894604,3.786783687,1.060301842
5,5,3.6,1.4,0.2,setosa,0.221911918,396,73.43733581,4.883743289,2.136813434
6,5.4,3.9,1.7,0.4,setosa,0.179027498,732,82.07113061,4.772846302,2.491018114
7,4.6,3.4,1.4,0.3,setosa,0.578075501,373,79.38096336,4.780361422,1.950879854
8,5,3.4,1.5,0.2,setosa,6.770094356,529,36.57819477,4.880777611,1.310377491
9,4.4,2.9,1.4,0.2,setosa,4.012060314,792,94.09401734,2.665369388,1.588447426
10,4.9,3.1,1.5,0.1,setosa,4.964874866,820,108.6522812,3.957457263,0.928943373
11,5.4,3.7,1.5,0.2,setosa,4.050967265,937,62.62085114,4.918912607,2.365437757
12,4.8,3.4,1.6,0.2,setosa,9.050334811,149,108.6326401,5.099710486,1.078311048
13,4.8,3,1.4,0.1,setosa,6.895120854,98,102.6155656,5.64263736,0.577453962
14,4.3,3,1.1,0.1,setosa,9.708109773,109,60.31280533,2.998699043,1.043862476
15,5.8,4,1.2,0.2,setosa,0.931985446,912,114.8276468,3.356889709,1.036136938
16,5.7,4.4,1.5,0.4,setosa,5.437343142,260,72.69555306,8.461344108,3.104681621
17,5.4,3.9,1.3,0.4,setosa,4.925622169,174,87.33436817,4.676148668,3.383321686
18,5.1,3.5,1.4,0.3,setosa,5.923739639,819,74.99451766,5.266775069,2.122594897
19,5.7,3.8,1.7,0.3,setosa,0.203513745,907,99.18333442,5.29437939,2.041580086
20,5.1,3.8,1.5,0.3,setosa,5.191737774,886,72.83556528,4.148928341,2.996639924
21,5.4,3.4,1.7,0.2,setosa,6.515112016,203,48.75119494,6.553768176,1.372728412
22,5.1,3.7,1.5,0.4,setosa,7.591028255,593,106.7707988,5.785265879,2.064988988
23,4.6,3.6,1,0.2,setosa,6.142369939,861,67.54274508,8.764803375,0.963598015
24,5.1,3.3,1.7,0.5,setosa,2.674458255,717,87.57859918,3.890039961,3.635688593
25,4.8,3.4,1.9,0.2,setosa,5.224556269,397,39.26785376,7.007652029,4.192327233
26,5,3,1.6,0.2,setosa,6.109785507,599,110.7557503,3.716621935,3.305154942
27,5,3.4,1.6,0.4,setosa,1.583071041,126,48.30196253,5.160187306,2.579643302
28,5.2,3.5,1.5,0.2,setosa,8.091973611,596,76.97078976,5.304524746,1.826386231
29,5.2,3.4,1.4,0.2,setosa,8.865402734,561,94.10357785,4.241703641,1.698132936
30,4.7,3.2,1.6,0.2,setosa,8.968683432,122,91.35891898,2.706362166,0.961574542
31,4.8,3.1,1.6,0.2,setosa,2.938463576,855,101.4281116,3.235114635,2.542919008
32,5.4,3.4,1.5,0.4,setosa,1.014853241,151,75.37314112,3.204298414,2.806156655
33,5.2,4.1,1.5,0.1,setosa,6.620120383,622,37.4302437,8.398940441,0.476901111
34,5.5,4.2,1.4,0.2,setosa,2.439907524,273,93.44796065,5.935676083,0.87135118
35,4.9,3.1,1.5,0.2,setosa,0.057026059,287,60.73476612,5.66663906,1.449968886
36,5,3.2,1.2,0.2,setosa,4.981642221,802,88.04186822,3.088943226,1.539357625
37,5.5,3.5,1.3,0.2,setosa,8.279195095,578,89.57380329,6.501425165,1.648197572
38,4.9,3.6,1.4,0.1,setosa,5.053849379,658,25.82324303,4.134258296,0.884875513
39,4.4,3,1.3,0.2,setosa,1.539744716,724,54.83548929,4.141881137,1.439697263
40,5.1,3.4,1.5,0.2,setosa,7.399220602,959,81.47466228,4.203932428,1.43646334
41,5,3.5,1.3,0.3,setosa,3.385282261,445,139.1644425,13.10858551,1.876318937
42,4.5,2.3,1.3,0.3,setosa,7.263327285,136,48.76244441,4.427880673,2.214504664
43,4.4,3.2,1.3,0.2,setosa,7.814401356,455,92.10875777,2.410363565,0.916046558
44,5,3.5,1.6,0.6,setosa,6.539893069,560,65.69979841,5.801554794,7.440485767
45,5.1,3.8,1.9,0.4,setosa,0.255098054,601,77.27115655,5.65013205,3.063894795
46,4.8,3,1.4,0.3,setosa,9.121223588,461,49.00686198,3.473731101,2.224494885
47,5.1,3.8,1.6,0.2,setosa,5.64822644,701,59.69194642,4.817834743,2.037184402
48,4.6,3.2,1.4,0.2,setosa,1.961753508,843,73.60584711,3.520478105,1.582658877
49,5.3,3.7,1.5,0.2,setosa,4.462799383,410,70.26986431,3.379731269,1.277222736
50,5,3.3,1.4,0.2,setosa,8.381378932,585,54.15704538,5.032985934,2.087440295
51,7,3.2,4.7,1.4,versicolor,4.444519342,301,99.69419958,8.060716452,6.800201251
52,6.4,3.2,4.5,1.5,versicolor,2.633987744,919,89.88769873,2.78469403,6.418091758
53,6.9,3.1,4.9,1.5,versicolor,3.278418367,345,74.56890113,4.166458148,10.09264071
54,5.5,2.3,4,1.3,versicolor,6.034374761,705,67.25400991,2.985562319,10.98441246
55,6.5,2.8,4.6,1.5,versicolor,8.483295557,449,51.41257814,3.530323102,7.480383399
56,5.7,2.8,4.5,1.3,versicolor,7.640847908,171,42.52356317,3.714888724,9.685660207
57,6.3,3.3,4.7,1.6,versicolor,9.823833648,369,42.61672338,3.275665116,12.7574056
58,4.9,2.4,3.3,1,versicolor,6.443134737,493,55.41924695,2.61774164,12.17771896
59,6.6,2.9,4.6,1.3,versicolor,4.736527759,427,56.38972249,4.01992612,11.63379628
60,5.2,2.7,3.9,1.4,versicolor,9.699272849,54,83.44736026,3.363361195,6.676900537
61,5,2,3.5,1,versicolor,0.807738109,89,50.973965,2.114250713,7.44176094
62,5.9,3,4.2,1.5,versicolor,7.179124199,313,60.06337378,5.276838413,8.810131162
63,6,2.2,4,1,versicolor,7.063889808,553,29.37753456,2.578764405,4.248737891
64,6.1,2.9,4.7,1.4,versicolor,1.340112023,817,114.7915169,3.219708191,10.42360546
65,5.6,2.9,3.6,1.3,versicolor,2.084143492,726,57.3839538,5.319369418,10.90946299
